classe,data,consumo_mwh,numero_uc,consumo_medio_kwh_uc
Comercial,1994-01-01,77720.983,0.0,
Comercial,1994-02-01,77214.332,0.0,
Comercial,1994-03-01,79659.559,0.0,
Comercial,1994-04-01,77696.54299999999,0.0,
Comercial,1994-05-01,69609.93400000001,0.0,
Comercial,1994-06-01,68379.684,0.0,
Comercial,1994-07-01,65826.657,0.0,
Comercial,1994-08-01,62667.34199999999,0.0,
Comercial,1994-09-01,69516.822,0.0,
Comercial,1994-10-01,69791.23300000001,0.0,
Comercial,1994-11-01,69970.26100000001,0.0,
Comercial,1994-12-01,78711.11,105651.0,745.011
Comercial,1995-01-01,89050.90400000001,106649.0,834.991
Comercial,1995-02-01,89734.214,107584.0,834.085
Comercial,1995-03-01,92127.135,108250.0,851.059
Comercial,1995-04-01,85088.815,108797.0,782.088
Comercial,1995-05-01,78224.14199999999,109428.0,714.846
Comercial,1995-06-01,76129.579,110034.0,691.873
Comercial,1995-07-01,77970.25099999999,110647.0,704.676
Comercial,1995-08-01,76356.99,111243.0,686.398
Comercial,1995-09-01,79421.98599999999,111687.0,711.112
Comercial,1995-10-01,82434.20700000001,112161.0,734.963
Comercial,1995-11-01,83081.83899999999,112764.0,736.776
Comercial,1995-12-01,87547.87299999999,113362.0,772.286
Comercial,1996-01-01,96276.481,114068.0,844.027
Comercial,1996-02-01,100214.41499999998,114660.0,874.014
Comercial,1996-03-01,97170.709,115204.0,843.466
Comercial,1996-04-01,97294.859,115632.0,841.418
Comercial,1996-05-01,91290.62000000001,116202.0,785.62
Comercial,1996-06-01,82346.136,116700.0,705.622
Comercial,1996-07-01,85056.01699999999,117179.0,725.864
Comercial,1996-08-01,81962.06599999999,117628.0,696.79
Comercial,1996-09-01,82631.775,111651.0,740.09
Comercial,1996-10-01,83614.267,111915.0,747.123
Comercial,1996-11-01,88301.447,112610.0,784.135
Comercial,1996-12-01,94788.28,112989.0,838.916
Comercial,1997-01-01,111258.14199999999,113424.0,980.905
Comercial,1997-02-01,110302.81799999997,113699.0,970.13
Comercial,1997-03-01,109127.03,114143.0,956.055
Comercial,1997-04-01,104072.95300000001,114583.0,908.276
Comercial,1997-05-01,97106.07599999999,114920.0,844.988
Comercial,1997-06-01,91794.169,115273.0,796.32
Comercial,1997-07-01,91405.275,115347.0,792.437
Comercial,1997-08-01,91581.473,115655.0,791.851
Comercial,1997-09-01,96608.437,116233.0,831.162
Comercial,1997-10-01,97921.717,116735.0,838.838
Comercial,1997-11-01,98739.956,117260.0,842.06
Comercial,1997-12-01,106931.00399999999,119400.0,895.57
Comercial,1998-01-01,120507.82400000001,120407.0,1000.837
Comercial,1998-02-01,121717.74100000001,120806.0,1007.547
Comercial,1998-03-01,122099.515,121312.0,1006.492
Comercial,1998-04-01,111999.16,121792.0,919.594
Comercial,1998-05-01,105564.894,122191.0,863.933
Comercial,1998-06-01,101831.391,122434.0,831.725
Comercial,1998-07-01,99108.81400000001,122576.0,808.55
Comercial,1998-08-01,101214.262,122681.0,825.02
Comercial,1998-09-01,101945.899,122880.0,829.638
Comercial,1998-10-01,103784.12699999998,123266.0,841.953
Comercial,1998-11-01,107821.79999999999,123852.0,870.57
Comercial,1998-12-01,115110.972,124423.0,925.158
Comercial,1999-01-01,126023.63500000001,124954.0,1008.56
Comercial,1999-02-01,123951.34300000001,125457.0,987.999
